COMPANHIA,ANO,MES,ORIGEM,DESTINO,TARIFA,TEMP_MEDIA
AZUL,2023,1,Aracaju,Porto Alegre,707.9,25.44
AZUL,2023,1,Aracaju,Recife,269.9,25.24
AZUL,2023,1,Aracaju,Rio de Janeiro,832.9,25.61
AZUL,2023,1,Aracaju,São Paulo,1095.23,25.55
AZUL,2023,1,Belo Horizonte,Belém,1233.02,25.36
AZUL,2023,1,Belo Horizonte,Boa Vista,767.44,25.51
AZUL,2023,1,Belo Horizonte,Brasília,910.33,25.45
AZUL,2023,1,Belo Horizonte,Campo Grande,548.35,25.3
AZUL,2023,1,Belo Horizonte,Cuiabá,686.27,25.47
AZUL,2023,1,Belo Horizonte,Curitiba,964.13,25.47
AZUL,2023,1,Belo Horizonte,Florianópolis,1134.65,25.52
AZUL,2023,1,Belo Horizonte,Fortaleza,922.48,25.11
AZUL,2023,1,Belo Horizonte,Goiânia,1061.32,25.27
AZUL,2023,1,Belo Horizonte,João Pessoa,820.49,25.37
AZUL,2023,1,Belo Horizonte,Macapá,683.83,25.54
AZUL,2023,1,Belo Horizonte,Maceió,818.45,25.46
AZUL,2023,1,Belo Horizonte,Manaus,783.86,25.3
AZUL,2023,1,Belo Horizonte,Natal,911.27,25.79
AZUL,2023,1,Belo Horizonte,Porto Alegre,608.44,25.44
AZUL,2023,1,Belo Horizonte,Porto Velho,1352.81,25.55
AZUL,2023,1,Belo Horizonte,Recife,1032.61,25.24
AZUL,2023,1,Belo Horizonte,Rio de Janeiro,573.62,25.61
AZUL,2023,1,Belo Horizonte,Salvador,1056.54,25.53
AZUL,2023,1,Belo Horizonte,São Luís,621.93,25.52
AZUL,2023,1,Belo Horizonte,São Paulo,717.73,25.55
AZUL,2023,1,Belo Horizonte,Teresina,667.99,25.52
AZUL,2023,1,Belo Horizonte,Vitória,1110.37,25.34
AZUL,2023,1,Belém,Belo Horizonte,1187.84,25.4
AZUL,2023,1,Belém,Boa Vista,1226.46,25.51
AZUL,2023,1,Belém,Brasília,694.96,25.45
AZUL,2023,1,Belém,Campo Grande,731.86,25.3
AZUL,2023,1,Belém,Cuiabá,1178.57,25.47
AZUL,2023,1,Belém,Curitiba,1081.55,25.47
AZUL,2023,1,Belém,Florianópolis,736.94,25.52
AZUL,2023,1,Belém,Fortaleza,609.31,25.11
AZUL,2023,1,Belém,Goiânia,887.76,25.27
AZUL,2023,1,Belém,João Pessoa,955.52,25.37
AZUL,2023,1,Belém,Macapá,529.07,25.54
AZUL,2023,1,Belém,Maceió,1045.89,25.46
AZUL,2023,1,Belém,Manaus,865.49,25.3
AZUL,2023,1,Belém,Natal,769.62,25.79
AZUL,2023,1,Belém,Porto Alegre,1307.87,25.44
AZUL,2023,1,Belém,Porto Velho,816.95,25.55
AZUL,2023,1,Belém,Recife,1248.58,25.24
AZUL,2023,1,Belém,Rio de Janeiro,867.58,25.61
AZUL,2023,1,Belém,Salvador,1038.91,25.53
AZUL,2023,1,Belém,São Luís,568.87,25.52
AZUL,2023,1,Belém,São Paulo,1089.64,25.55
AZUL,2023,1,Belém,Teresina,733.75,25.52
AZUL,2023,1,Belém,Vitória,767.02,25.34
AZUL,2023,1,Boa Vista,Belo Horizonte,785.9,25.4
AZUL,2023,1,Boa Vista,Belém,1179.05,25.36
AZUL,2023,1,Boa Vista,Brasília,1651.7,25.45
AZUL,2023,1,Boa Vista,Campo Grande,1249.4,25.3
AZUL,2023,1,Boa Vista,Cuiabá,1159.91,25.47
AZUL,2023,1,Boa Vista,Curitiba,1452.79,25.47
AZUL,2023,1,Boa Vista,Florianópolis,1340.23,25.52
AZUL,2023,1,Boa Vista,Fortaleza,1144.87,25.11
AZUL,2023,1,Boa Vista,Goiânia,1164.12,25.27
AZUL,2023,1,Boa Vista,Macapá,1840.9,25.54
AZUL,2023,1,Boa Vista,Maceió,1770.9,25.46
AZUL,2023,1,Boa Vista,Manaus,958.1,25.3
AZUL,2023,1,Boa Vista,Natal,1590.9,25.79
AZUL,2023,1,Boa Vista,Porto Alegre,1403.58,25.44
AZUL,2023,1,Boa Vista,Porto Velho,1102.11,25.55
AZUL,2023,1,Boa Vista,Recife,817.78,25.24
AZUL,2023,1,Boa Vista,Rio de Janeiro,1100.76,25.61
AZUL,2023,1,Boa Vista,Salvador,895.07,25.53
AZUL,2023,1,Boa Vista,São Luís,790.78,25.52
AZUL,2023,1,Boa Vista,São Paulo,1336.7,25.55
AZUL,2023,1,Boa Vista,Teresina,1522.34,25.52
AZUL,2023,1,Boa Vista,Vitória,1500.86,25.34
AZUL,2023,1,Brasília,Belo Horizonte,924.05,25.4
AZUL,2023,1,Brasília,Belém,742.93,25.36
AZUL,2023,1,Brasília,Boa Vista,1542.96,25.51
AZUL,2023,1,Brasília,Campo Grande,529.06,25.3
AZUL,2023,1,Brasília,Cuiabá,692.05,25.47
AZUL,2023,1,Brasília,Curitiba,548.9,25.47
AZUL,2023,1,Brasília,Florianópolis,596.81,25.52
AZUL,2023,1,Brasília,Fortaleza,889.79,25.11
AZUL,2023,1,Brasília,João Pessoa,942.61,25.37
AZUL,2023,1,Brasília,Macapá,1267.4,25.54
AZUL,2023,1,Brasília,Maceió,810.69,25.46
AZUL,2023,1,Brasília,Manaus,845.7,25.3
AZUL,2023,1,Brasília,Natal,865.5,25.79
AZUL,2023,1,Brasília,Porto Alegre,1017.98,25.44
AZUL,2023,1,Brasília,Porto Velho,1043.29,25.55
AZUL,2023,1,Brasília,Recife,710.55,25.24
AZUL,2023,1,Brasília,Rio de Janeiro,635.9,25.61
AZUL,2023,1,Brasília,Salvador,801.35,25.53
AZUL,2023,1,Brasília,São Luís,849.83,25.52
AZUL,2023,1,Brasília,São Paulo,588.22,25.55
AZUL,2023,1,Brasília,Teresina,637.23,25.52
AZUL,2023,1,Brasília,Vitória,673.87,25.34
AZUL,2023,1,Campo Grande,Belo Horizonte,559.43,25.4
AZUL,2023,1,Campo Grande,Belém,776.63,25.36
AZUL,2023,1,Campo Grande,Boa Vista,1650.73,25.51
AZUL,2023,1,Campo Grande,Brasília,549.92,25.45
AZUL,2023,1,Campo Grande,Cuiabá,819.41,25.47
AZUL,2023,1,Campo Grande,Curitiba,597.51,25.47
AZUL,2023,1,Campo Grande,Florianópolis,539.46,25.52
AZUL,2023,1,Campo Grande,Fortaleza,925.81,25.11
AZUL,2023,1,Campo Grande,Goiânia,750.97,25.27
AZUL,2023,1,Campo Grande,João Pessoa,1059.5,25.37
AZUL,2023,1,Campo Grande,Macapá,925.12,25.54
AZUL,2023,1,Campo Grande,Maceió,1151.13,25.46
AZUL,2023,1,Campo Grande,Manaus,733.78,25.3
AZUL,2023,1,Campo Grande,Natal,926.85,25.79
AZUL,2023,1,Campo Grande,Porto Alegre,628.65,25.44
AZUL,2023,1,Campo Grande,Porto Velho,772.28,25.55
AZUL,2023,1,Campo Grande,Recife,818.19,25.24
AZUL,2023,1,Campo Grande,Rio de Janeiro,465.39,25.61
AZUL,2023,1,Campo Grande,Salvador,887.83,25.53
AZUL,2023,1,Campo Grande,São Luís,713.36,25.52
AZUL,2023,1,Campo Grande,São Paulo,717.93,25.55
AZUL,2023,1,Campo Grande,Teresina,882.51,25.52
AZUL,2023,1,Campo Grande,Vitória,483.47,25.34
AZUL,2023,1,Cuiabá,Belo Horizonte,666.76,25.4
AZUL,2023,1,Cuiabá,Belém,1252.59,25.36
AZUL,2023,1,Cuiabá,Boa Vista,942.38,25.51
AZUL,2023,1,Cuiabá,Brasília,620.02,25.45
AZUL,2023,1,Cuiabá,Campo Grande,856.49,25.3
AZUL,2023,1,Cuiabá,Curitiba,917.42,25.47
AZUL,2023,1,Cuiabá,Florianópolis,623.13,25.52
AZUL,2023,1,Cuiabá,Fortaleza,817.59,25.11
AZUL,2023,1,Cuiabá,Goiânia,810.43,25.27
AZUL,2023,1,Cuiabá,João Pessoa,810.31,25.37
AZUL,2023,1,Cuiabá,Macapá,589.14,25.54
AZUL,2023,1,Cuiabá,Maceió,960.7,25.46
AZUL,2023,1,Cuiabá,Manaus,1175.31,25.3
AZUL,2023,1,Cuiabá,Natal,861.2,25.79
AZUL,2023,1,Cuiabá,Porto Alegre,791.44,25.44
AZUL,2023,1,Cuiabá,Porto Velho,1323.09,25.55
AZUL,2023,1,Cuiabá,Recife,944.56,25.24
AZUL,2023,1,Cuiabá,Rio de Janeiro,905.93,25.61
AZUL,2023,1,Cuiabá,Salvador,950.05,25.53
AZUL,2023,1,Cuiabá,São Luís,1099.42,25.52
AZUL,2023,1,Cuiabá,São Paulo,682.79,25.55
AZUL,2023,1,Cuiabá,Teresina,727.84,25.52
AZUL,2023,1,Cuiabá,Vitória,559.04,25.34
AZUL,2023,1,Curitiba,Belo Horizonte,974.57,25.4
AZUL,2023,1,Curitiba,Belém,1143.63,25.36
AZUL,2023,1,Curitiba,Boa Vista,1624.5,25.51
AZUL,2023,1,Curitiba,Brasília,583.83,25.45
AZUL,2023,1,Curitiba,Campo Grande,563.97,25.3
AZUL,2023,1,Curitiba,Cuiabá,912.76,25.47
AZUL,2023,1,Curitiba,Florianópolis,596.26,25.52
AZUL,2023,1,Curitiba,Fortaleza,893.17,25.11
AZUL,2023,1,Curitiba,Goiânia,669.0,25.27
AZUL,2023,1,Curitiba,João Pessoa,926.74,25.37
AZUL,2023,1,Curitiba,Macapá,734.12,25.54
AZUL,2023,1,Curitiba,Maceió,761.76,25.46
AZUL,2023,1,Curitiba,Manaus,717.83,25.3
AZUL,2023,1,Curitiba,Natal,809.96,25.79
AZUL,2023,1,Curitiba,Porto Alegre,755.88,25.44
AZUL,2023,1,Curitiba,Porto Velho,908.21,25.55
AZUL,2023,1,Curitiba,Recife,890.6,25.24
AZUL,2023,1,Curitiba,Rio de Janeiro,543.95,25.61
AZUL,2023,1,Curitiba,Salvador,866.76,25.53
AZUL,2023,1,Curitiba,São Luís,1059.67,25.52
AZUL,2023,1,Curitiba,São Paulo,557.06,25.55
AZUL,2023,1,Curitiba,Teresina,1284.38,25.52
AZUL,2023,1,Curitiba,Vitória,558.37,25.34
AZUL,2023,1,Florianópolis,Belo Horizonte,1065.35,25.4
AZUL,2023,1,Florianópolis,Belém,707.43,25.36
AZUL,2023,1,Florianópolis,Boa Vista,1436.1,25.51
AZUL,2023,1,Florianópolis,Brasília,664.05,25.45
AZUL,2023,1,Florianópolis,Campo Grande,520.99,25.3
AZUL,2023,1,Florianópolis,Cuiabá,690.95,25.47
AZUL,2023,1,Florianópolis,Curitiba,584.53,25.47
AZUL,2023,1,Florianópolis,Fortaleza,906.16,25.11
AZUL,2023,1,Florianópolis,Goiânia,612.98,25.27
AZUL,2023,1,Florianópolis,João Pessoa,1011.43,25.37
AZUL,2023,1,Florianópolis,Macapá,612.8,25.54
AZUL,2023,1,Florianópolis,Maceió,933.94,25.46
AZUL,2023,1,Florianópolis,Manaus,888.47,25.3
AZUL,2023,1,Florianópolis,Natal,934.4,25.79
AZUL,2023,1,Florianópolis,Porto Alegre,810.56,25.44
AZUL,2023,1,Florianópolis,Porto Velho,1019.65,25.55
AZUL,2023,1,Florianópolis,Recife,885.66,25.24
AZUL,2023,1,Florianópolis,Rio de Janeiro,605.79,25.61
AZUL,2023,1,Florianópolis,Salvador,750.44,25.53
AZUL,2023,1,Florianópolis,São Luís,770.25,25.52
AZUL,2023,1,Florianópolis,São Paulo,529.33,25.55
AZUL,2023,1,Florianópolis,Teresina,779.05,25.52
AZUL,2023,1,Florianópolis,Vitória,520.74,25.34
AZUL,2023,1,Fortaleza,Belo Horizonte,935.47,25.4
AZUL,2023,1,Fortaleza,Belém,637.25,25.36
AZUL,2023,1,Fortaleza,Boa Vista,1215.16,25.51
AZUL,2023,1,Fortaleza,Brasília,1070.29,25.45
AZUL,2023,1,Fortaleza,Campo Grande,909.79,25.3
AZUL,2023,1,Fortaleza,Cuiabá,1025.25,25.47
AZUL,2023,1,Fortaleza,Curitiba,964.01,25.47
AZUL,2023,1,Fortaleza,Florianópolis,950.32,25.52
AZUL,2023,1,Fortaleza,Goiânia,929.09,25.27
AZUL,2023,1,Fortaleza,João Pessoa,1324.07,25.37
AZUL,2023,1,Fortaleza,Macapá,1143.41,25.54
AZUL,2023,1,Fortaleza,Maceió,856.27,25.46
AZUL,2023,1,Fortaleza,Manaus,926.24,25.3
AZUL,2023,1,Fortaleza,Natal,805.28,25.79
AZUL,2023,1,Fortaleza,Porto Alegre,965.67,25.44
AZUL,2023,1,Fortaleza,Porto Velho,1248.98,25.55
AZUL,2023,1,Fortaleza,Recife,692.72,25.24
AZUL,2023,1,Fortaleza,Rio de Janeiro,983.65,25.61
AZUL,2023,1,Fortaleza,Salvador,769.16,25.53
AZUL,2023,1,Fortaleza,São Luís,753.66,25.52
AZUL,2023,1,Fortaleza,São Paulo,778.44,25.55
AZUL,2023,1,Fortaleza,Teresina,622.86,25.52
AZUL,2023,1,Fortaleza,Vitória,773.72,25.34
AZUL,2023,1,Goiânia,Belo Horizonte,1020.7,25.4
AZUL,2023,1,Goiânia,Belém,894.97,25.36
AZUL,2023,1,Goiânia,Boa Vista,1118.35,25.51
AZUL,2023,1,Goiânia,Campo Grande,845.16,25.3
AZUL,2023,1,Goiânia,Cuiabá,863.61,25.47
AZUL,2023,1,Goiânia,Curitiba,680.78,25.47
AZUL,2023,1,Goiânia,Florianópolis,607.63,25.52
AZUL,2023,1,Goiânia,Fortaleza,857.12,25.11
AZUL,2023,1,Goiânia,João Pessoa,763.67,25.37
AZUL,2023,1,Goiânia,Macapá,554.98,25.54
AZUL,2023,1,Goiânia,Maceió,852.84,25.46
AZUL,2023,1,Goiânia,Manaus,1386.83,25.3
AZUL,2023,1,Goiânia,Natal,807.98,25.79
AZUL,2023,1,Goiânia,Porto Alegre,698.44,25.44
AZUL,2023,1,Goiânia,Porto Velho,1032.57,25.55
AZUL,2023,1,Goiânia,Recife,1076.16,25.24
AZUL,2023,1,Goiânia,Rio de Janeiro,537.69,25.61
AZUL,2023,1,Goiânia,Salvador,845.73,25.53
AZUL,2023,1,Goiânia,São Luís,695.46,25.52
AZUL,2023,1,Goiânia,São Paulo,582.32,25.55
AZUL,2023,1,Goiânia,Teresina,770.93,25.52
AZUL,2023,1,Goiânia,Vitória,535.94,25.34
AZUL,2023,1,João Pessoa,Belo Horizonte,805.56,25.4
AZUL,2023,1,João Pessoa,Belém,974.0,25.36
AZUL,2023,1,João Pessoa,Brasília,821.5,25.45
AZUL,2023,1,João Pessoa,Campo Grande,961.83,25.3
AZUL,2023,1,João Pessoa,Cuiabá,842.03,25.47
AZUL,2023,1,João Pessoa,Curitiba,915.85,25.47
AZUL,2023,1,João Pessoa,Florianópolis,976.33,25.52
AZUL,2023,1,João Pessoa,Fortaleza,1097.18,25.11
AZUL,2023,1,João Pessoa,Goiânia,806.57,25.27
AZUL,2023,1,João Pessoa,Macapá,1067.24,25.54
AZUL,2023,1,João Pessoa,Maceió,1693.9,25.46
AZUL,2023,1,João Pessoa,Manaus,1282.35,25.3
AZUL,2023,1,João Pessoa,Porto Alegre,923.05,25.44
AZUL,2023,1,João Pessoa,Porto Velho,782.52,25.55
AZUL,2023,1,João Pessoa,Recife,432.66,25.24
AZUL,2023,1,João Pessoa,Rio de Janeiro,886.68,25.61
AZUL,2023,1,João Pessoa,Salvador,963.61,25.53
AZUL,2023,1,João Pessoa,São Luís,1154.31,25.52
AZUL,2023,1,João Pessoa,São Paulo,965.81,25.55
AZUL,2023,1,João Pessoa,Teresina,905.42,25.52
AZUL,2023,1,João Pessoa,Vitória,971.9,25.34
AZUL,2023,1,Macapá,Belo Horizonte,765.32,25.4
AZUL,2023,1,Macapá,Belém,507.01,25.36
AZUL,2023,1,Macapá,Boa Vista,1858.9,25.51
AZUL,2023,1,Macapá,Brasília,1208.3,25.45
AZUL,2023,1,Macapá,Campo Grande,882.29,25.3
AZUL,2023,1,Macapá,Cuiabá,594.58,25.47
AZUL,2023,1,Macapá,Curitiba,634.79,25.47
AZUL,2023,1,Macapá,Florianópolis,588.2,25.52
AZUL,2023,1,Macapá,Fortaleza,1098.26,25.11
AZUL,2023,1,Macapá,Goiânia,709.61,25.27
AZUL,2023,1,Macapá,João Pessoa,1028.8,25.37
AZUL,2023,1,Macapá,Maceió,1319.4,25.46
AZUL,2023,1,Macapá,Manaus,853.46,25.3
AZUL,2023,1,Macapá,Natal,1064.9,25.79
AZUL,2023,1,Macapá,Porto Alegre,707.12,25.44
AZUL,2023,1,Macapá,Porto Velho,1261.48,25.55
AZUL,2023,1,Macapá,Recife,1019.37,25.24
AZUL,2023,1,Macapá,Rio de Janeiro,572.84,25.61
AZUL,2023,1,Macapá,Salvador,532.95,25.53
AZUL,2023,1,Macapá,São Luís,1186.3,25.52
AZUL,2023,1,Macapá,São Paulo,738.0,25.55
AZUL,2023,1,Macapá,Teresina,784.71,25.52
AZUL,2023,1,Macapá,Vitória,935.06,25.34
AZUL,2023,1,Maceió,Belo Horizonte,905.38,25.4
AZUL,2023,1,Maceió,Belém,1123.96,25.36
AZUL,2023,1,Maceió,Brasília,978.48,25.45
AZUL,2023,1,Maceió,Campo Grande,1206.4,25.3
AZUL,2023,1,Maceió,Cuiabá,981.84,25.47
AZUL,2023,1,Maceió,Curitiba,771.5,25.47
AZUL,2023,1,Maceió,Florianópolis,1009.2,25.52
AZUL,2023,1,Maceió,Fortaleza,1014.35,25.11
AZUL,2023,1,Maceió,Goiânia,929.38,25.27
AZUL,2023,1,Maceió,Macapá,1430.23,25.54
AZUL,2023,1,Maceió,Manaus,1484.68,25.3
AZUL,2023,1,Maceió,Natal,1082.06,25.79
